CÓLERA,A00
FEBRES TIFÓIDE E PARATIFÓIDE,A01
OUTRAS INFECÇÕES POR SALMONELLA,A02
SHIGUELOSE,A03
OUTRAS INFECÇÕES INTESTINAIS BACTERIANAS,A04
"OUTRAS INTOXICAÇÕES ALIMENTARES BACTERIANAS, NÃO CLASSIFICADAS EM OUTRA PARTE",A05
AMEBÍASE,A06
OUTRAS DOENÇAS INTESTINAIS POR PROTOZOÁRIOS,A07
"INFECÇÕES INTESTINAIS VIRAIS, OUTRAS E AS NÃO ESPECIFICADAS",A08
DIARRÉIA E GASTROENTERITE DE ORIGEM INFECCIOSA PRESUMÍVEL,A09
"TUBERCULOSE RESPIRATÓRIA, COM CONFIRMAÇÃO BACTERIOLÓGICA E HISTOLÓGICA",A15
"TUBERCULOSE DAS VIAS RESPIRATÓRIAS, SEM CONFIRMAÇÃO BACTERIOLÓGICA OU HISTOLÓGICA",A16
TUBERCULOSE DO SISTEMA NERVOSO,A17
TUBERCULOSE DE OUTROS ÓRGÃOS,A18
TUBERCULOSE MILIAR,A19
PESTE,A20
TULAREMIA,A21
CARBÚNCULO,A22
BRUCELOSE,A23
MORMO E MELIOIDOSE,A24
FEBRES TRANSMITIDAS POR MORDEDURA DE RATO,A25
ERISIPELÓIDE,A26
LEPTOSPIROSE,A27
OUTRAS DOENÇAS BACTERIANAS ZOONÓTICAS NÃO CLASSIFICADAS EM OUTRA PARTE,A28
HANSENÍASE [DOENÇA DE HANSEN] [LEPRA],A30
INFECÇÕES DEVIDAS A OUTRAS MICOBACTÉRIAS,A31
LISTERIOSE [LISTERÍASE],A32
TÉTANO DO RECÉM-NASCIDO [NEONATAL],A33
TÉTANO OBSTÉTRICO,A34
OUTROS TIPOS DE TÉTANO,A35
DIFTERIA,A36
COQUELUCHE,A37
ESCARLATINA,A38
INFECÇÃO MENINGOGÓCICA,A39
SEPTICEMIA ESTREPTOCÓCICA,A40
OUTRAS SEPTICEMIAS,A41
ACTINOMICOSE,A42
NOCARDIOSE,A43
BARTONELOSE,A44
ERISIPELA,A46
OUTRAS DOENÇAS BACTERIANAS NÃO CLASSIFICADAS EM OUTRA PARTE,A48
INFECÇÃO BACTERIANA DE LOCALIZAÇÃO NÃO ESPECIFICADA,A49
SÍFILIS CONGÊNITA,A50
SÍFILIS PRECOCE,A51
SÍFILIS TARDIA,A52
OUTRAS FORMAS E AS NÃO ESPECIFICADAS DA SÍFILIS,A53
INFECÇÃO GONOCÓCICA,A54
LINFOGRANULOMA (VENÉREO) POR CLAMÍDIA,A55
OUTRAS INFECÇÕES CAUSADAS POR CLAMÍDIAS TRANSMITIDAS POR VIA SEXUAL,A56
CANCRO MOLE,A57
GRANULOMA INGUINAL,A58
TRICOMONÍASE,A59
INFECÇÕES ANOGENITAIS PELO VÍRUS DO HERPES [HERPES SIMPLES],A60
"OUTRAS DOENÇAS DE TRANSMISSÃO PREDOMINANTEMENTE SEXUAL, NÃO CLASSIFICADAS EM OUTRA PARTE",A63
"DOENÇAS SEXUALMENTE TRANSMITIDAS, NÃO ESPECIFICADAS",A64
SÍFILIS NÃO-VENÉREA,A65
BOUBA,A66
PINTA [CARATE],A67
FEBRES RECORRENTES [BORRELIOSES],A68
OUTRAS INFECÇÕES POR ESPIROQUETAS,A69
INFECÇÕES CAUSADAS POR CLAMÍDIA PSITTACI,A70
TRACOMA,A71
OUTRAS DOENÇAS CAUSADAS POR CLAMÍDIAS,A74
TIFO EXANTEMÁTICO,A75
FEBRE MACULOSA [RICKETTSIOSES TRANSMITIDAS POR CARRAPATOS],A77
FEBRE Q,A78
OUTRAS RICKETTSIOSES,A79
POLIOMIELITE AGUDA,A80
INFECÇÕES POR VÍRUS ATÍPICOS DO SISTEMA NERVOSO CENTRAL,A81
RAIVA,A82
ENCEFALITE POR VÍRUS TRANSMITIDOS POR MOSQUITOS,A83
ENCEFALITE POR VÍRUS TRANSMITIDO POR CARRAPATOS,A84
"OUTRAS ENCEFALITES VIRAIS, NÃO CLASSIFICADAS EM OUTRA PARTE",A85
"ENCEFALITE VIRAL, NÃO ESPECIFICADA",A86
MENINGITE VIRAL,A87
OUTRAS INFECÇÕES VIRAIS DO SISTEMA NERVOSO CENTRAL NÃO CLASSIFICADAS EM OUTRA PARTE,A88
INFECÇÕES VIRAIS NÃO ESPECIFICADAS DO SISTEMA NERVOSO CENTRAL,A89
DENGUE [DENGUE CLÁSSICO],A90
FEBRE HEMORRÁGICA DEVIDA AO VÍRUS DO DENGUE,A91
OUTRAS FEBRES VIRAIS TRANSMITIDAS POR MOSQUITOS,A92
OUTRAS FEBRES POR VÍRUS TRANSMITIDAS POR ARTRÓPODES NÃO CLASSIFICADAS EM OUTRA PARTE,A93
"FEBRE VIRAL TRANSMITIDA POR ARTRÓPODES, NÃO ESPECIFICADA",A94
FEBRE AMARELA,A95
FEBRE HEMORRÁGICA POR ARENAVÍRUS,A96
"OUTRAS FEBRES HEMORRÁGICAS POR VÍRUS, NÃO CLASSIFICADAS EM OUTRA PARTE",A98
FEBRES HEMORRÁGICAS VIRAIS NÃO ESPECIFICADAS,A99
INFECÇÕES PELO VÍRUS DO HERPES [HERPES SIMPLES],B00
