Descricao,Valor
ATORVASTATINA 80 MG (POR COMPRIMIDO),"0,00"
BEZAFIBRATO 200 MG (POR DRÁGEA OU COMPRIMIDO),"0,00"
CLOBAZAM 20 MG (POR COMPRIMIDO),"0,00"
ESCUTA INICIAL / ORIENTAÇÃO (ACOLHIMENTO À DEMANDA ESPONTÂNEA),"0,00"
ETOFIBRATO 500 MG (POR CÁPSULA),"0,00"
FORMOTEROL 12 MCG + BUDESONIDA 400 MCG PÓ INALANTE (POR FRASCO DE 60 DOSES),"0,00"
FORMOTEROL 6 MCG + BUDESONIDA 200 MCG (POR CÁPSULA INALANTE),"0,00"
ISOTRETINOÍNA 10 MG (POR CÁPSULA),"0,00"
LAMOTRIGINA 25 MG (POR COMPRIMIDO),"0,00"
MORFINA 10 MG/ML (POR AMPOLA DE 1 ML),"0,00"
PRAVASTATINA 10 MG (POR COMPRIMIDO),"0,00"
PRIMIDONA 100 MG (POR COMPRIMIDO),"0,00"
TACROLIMO 5 MG (POR CÁPSULA),"0,00"
TENECTEPLASE 40 MG INJETÁVEL (POR FRASCO-AMPOLA) DE USO NAS URGÊNCIAS PRÉ-HOSPITALARES,"1.810,00"
ABATACEPTE 125 MG INJETÁVEL (POR SERINGA PREENCHIDA),"0,00"
ABATACEPTE 250 MG INJETÁVEL (POR FRASCO-AMPOLA),"0,00"
ABCIXIMABE,"873,00"
ABERTURA DE COMUNICAÇÃO INTER-ATRIAL,"12.246,65"
ABERTURA DE ESTENOSE AÓRTICA VALVAR,"7.445,17"
ABERTURA DE ESTENOSE AÓRTICA VALVAR (CRIANÇA E ADOLESCENTE),"12.820,88"
ABERTURA DE ESTENOSE PULMONAR VALVAR,"7.445,17"
ABERTURA DE ESTENOSE PULMONAR VALVAR (CRIANÇA E ADOLESCENTE),"10.948,62"
ABORDAGEM COGNITIVA COMPORTAMENTAL DO FUMANTE (POR ATENDIMENTO / PACIENTE),"0,00"
AÇÃO COLETIVA DE APLICAÇÃO TÓPICA DE FLÚOR GEL,"0,00"
AÇÃO COLETIVA DE BOCHECHO FLUORADO,"0,00"
AÇÃO COLETIVA DE ESCOVAÇÃO DENTAL SUPERVISIONADA,"0,00"
AÇÃO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLÓGICA,"0,00"
AÇÃO COLETIVA DE PREVENÇÃO DE CÂNCER BUCAL,"0,00"
ACESSO À POLPA DENTÁRIA E MEDICAÇÃO (POR DENTE),"0,00"
ACETAZOLAMIDA 250 MG (POR COMPRIMIDO),"0,00"
ACIDEZ TITULÁVEL NO LEITE HUMANO (DORNIC),"3,04"
ÁCIDO NICOTÍNICO 250 MG (POR COMPRIMIDO DE LIBERAÇÃO PROLONGADA),"0,00"
ÁCIDO NICOTÍNICO 500 MG (POR COMPRIMIDO DE LIBERAÇÃO PROLONGADA),"0,00"
ÁCIDO NICOTÍNICO 750 MG (POR COMPRIMIDO DE LIBERAÇÃO PROLONGADA),"0,00"
ÁCIDO ÚRICO LÍQUIDO NO SINOVIAL E DERRAMES,"1,89"
ÁCIDO URSODESOXICÓLICO 150 MG (POR COMPRIMIDO),"2,90"
ÁCIDO URSODESOXICÓLICO 300 MG (POR COMPRIMIDO),"5,73"
ÁCIDO URSODESOXICÓLICO 50 MG (POR COMPRIMIDO),"1,17"
ACITRETINA 10 MG (POR CÁPSULA),"2,74"
ACITRETINA 25 MG (POR CÁPSULA),"6,73"
AÇÕES DE ARTICULAÇÃO DE REDES INTRA E INTERSETORIAIS,"0,00"
AÇÕES DE REABILITAÇÃO PSICOSSOCIAL,"0,00"
AÇÕES DE REDUÇÃO DE DANOS,"0,00"
AÇÕES RELACIONADAS À DOAÇÃO DE ÓRGÃOS E TECIDOS PARA TRANSPLANTE,"0,00"
AÇÕES RELACIONADAS À DOAÇÃO DE ÓRGÃOS E TECIDOS REALIZADAS POR EQUIPE DE OUTRO ESTABELECIMENTO,"0,00"
ACOLHIMENTO COM CLASSIFICAÇÃO DE RISCO,"0,00"
ACOLHIMENTO DIURNO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL,"0,00"
ACOLHIMENTO EM TERCEIRO TURNO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL,"0,00"
ACOLHIMENTO INICIAL POR CENTRO DE ATENÇÃO PSICOSSOCIAL,"0,00"
ACOLHIMENTO NOTURNO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL,"0,00"
ACOMPANHAMENTO DA POPULAÇÃO INFANTO-JUVENIL COM SOFRIMENTO OU TRANSTORNOS MENTAIS DECORRENTES,"0,00"
ACOMPANHAMENTO DE DOADOR VIVO PÓS-DOAÇÃO DE FÍGADO, PULMÃO OU RIM,"135,00"
ACOMPANHAMENTO DE PACIENTE C/ IMPLANTE COCLEAR,"58,62"
ACOMPANHAMENTO DE PACIENTE COM FENILCETONÚRIA,"27,50"
ACOMPANHAMENTO DE PACIENTE COM FIBROSE CÍSTICA,"27,50"
ACOMPANHAMENTO DE PACIENTE COM HEMOGLOBINOPATIAS,"27,50"
ACOMPANHAMENTO DE PACIENTE COM HIPOTIREOIDISMO CONGÊNITO,"27,50"
ACOMPANHAMENTO DE PACIENTE COM IMPLANTE COCLEAR,"58,62"
ACOMPANHAMENTO DE PACIENTE COM PRÓTESE AUDITIVA ANCORADA NO OSSO,"58,62"
ACOMPANHAMENTO DE PACIENTE EM REABILITAÇÃO EM COMUNICAÇÃO ALTERNATIVA,"17,67"
ACOMPANHAMENTO DE PACIENTE EM SAÚDE MENTAL (RESIDÊNCIA TERAPÊUTICA),"0,00"
ACOMPANHAMENTO DE PACIENTE EM TERAPIA NUTRICIONAL,"0,00"
ACOMPANHAMENTO DE PACIENTE MÉDIO / GRANDE QUEIMADO,"15,75"
ACOMPANHAMENTO DE PACIENTE P/ ADAPTAÇÃO DE APARELHO DE AMPLIFICAÇÃO SONORA INDIVIDUAL (AASI) UNI,"21,68"
ACOMPANHAMENTO DE PACIENTE PEQUENO QUEIMADO,"10,50"
ACOMPANHAMENTO DE PACIENTE PORTADOR DE AGRAVOS RELACIONADOS AO TRABALHO,"0,00"
ACOMPANHAMENTO DE PACIENTE PORTADOR DE SEQUELAS RELACIONADAS AO TRABALHO,"0,00"
ACOMPANHAMENTO DE PACIENTE PÓS-CIRURGIA BARIÁTRICA POR EQUIPE MULTIPROFISSIONAL,"40,00"
ACOMPANHAMENTO DE PACIENTE PÓS-TRANSPLANTE DE CÓRNEA,"115,00"
ACOMPANHAMENTO DE PACIENTE PÓS-TRANSPLANTE DE RIM, FÍGADO, CORAÇÃO, PULMÃO, CÉLULAS-TRONCO HEMAT,"135,00"
ACOMPANHAMENTO DE PACIENTE PRÉ-CIRURGIA BARIÁTRICA POR EQUIPE MULTIPROFISSIONAL,"40,00"
ACOMPANHAMENTO DE PACIENTES NO PRÉ-TRANSPLANTE DE ÓRGÃOS,"135,00"
ACOMPANHAMENTO DE PESSOAS ADULTAS COM SOFRIMENTO OU TRANSTORNOS MENTAIS DECORRENTES DO USO,"0,00"
ACOMPANHAMENTO DE PESSOAS COM NECESSIDADES DECORRENTES DO USO DE ÁLCOOL, CRACK E OUTRAS DROGAS,"0,00"
ACOMPANHAMENTO DE SERVIÇO RESIDENCIAL TERAPÊUTICO POR CENTRO DE ATENÇÃO PSICOSSOCIAL,"0,00"
ACOMPANHAMENTO E AVALIAÇÃO DE GLAUCOMA POR FUNDOSCOPIA E TONOMETRIA,"17,74"
ACOMPANHAMENTO E AVALIAÇÃO DOMICILIAR DE PACIENTE SUBMETIDO A VENTILAÇÃO MECÂNICA NÃO INVASIVA,"55,00"
ACOMPANHAMENTO EM SERVIÇO DE REFERÊNCIA DE TRIAGEM NEONATAL (SRTN) PACIENTE COM DEFICIÊNCIA DE,"27,50"
ACOMPANHAMENTO EM SERVIÇO DE REFERÊNCIA EM TRIAGEM NEONATAL (SRTN) - HIPERPLASIA ADRENAL CONGÊNITA,"27,50"
ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTÁGIO 04 PRÉ-DIÁLISE,"61,00"
ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTÁGIO 05 PRÉ-DIÁLISE,"61,00"
ACOMPANHAMENTO NEUROPSICOLÓGICO DE PACIENTE EM REABILITAÇÃO,"17,67"
ACOMPANHAMENTO NO PROCESSO TRANSEXUALIZADO EXCLUSIVAMENTE PARA ATENDIMENTO CLÍNICO,"39,38"
ACOMPANHAMENTO NO PROCESSO TRANSEXUALIZADOR EXCLUSIVO NAS ETAPAS DO PRÉ E PÓS-OPERATÓRIO,"39,38"
ACOMPANHAMENTO PSICOPEDAGÓGICO DE PACIENTE EM REABILITAÇÃO,"17,67"
ACONSELHAMENTO GENÉTICO,"100,00"
ADALIMUMABE 40 MG INJETÁVEL (FRASCO AMPOLA),"0,00"
ADALIMUMABE 40 MG INJETÁVEL (POR SERINGA PREENCHIDA),"0,00"
ADALIMUMABE 40 MG INJETÁVEL (POR SERINGA PREENCHIDA),"0,00"
ADAPTAÇÃO ABDUTOR TIPO CAVALO PARA CADEIRA DE RODAS,"57,00"
ADAPTAÇÃO DE ASSENTO PARA DEFORMIDADES DE QUADRIL,"136,34"
ADAPTAÇÃO DE ENCOSTO PARA DEFORMIDADES DE TRONCO,"132,00"
ADAPTAÇÃO DE OPM AUXILIARES DE LOCOMOÇÃO,"0,00"
ADAPTAÇÃO DE OPM OFTALMOLÓGICA,"0,00"
ADAPTAÇÃO DE OPM ORTOPÉDICA,"0,00"
Adaptação DE PRÓTESE DENTARIA,"0,00"
ADAPTAÇÃO DO APOIO DE BRAÇOS DA CADEIRA DE RODAS,"132,00"
ADAPTAÇÃO DO APOIO DE PÉS DA CADEIRA DE RODAS,"62,50"
ADENOGRAMA,"5,79"
ADENOIDECTOMIA,"48,42"
ADEQUAÇÃO DO COMPORTAMENTO DA PESSOA COM DEFICIÊNCIA,"0,00"
ADEQUAÇÃO DO COMPORTAMENTO DE CRIANÇAS,"0,00"
ADESÃO À ASSISTÊNCIA PRE-NATAL - INCENTIVO PHPN (COMPONENTE I),"0,00"
ADMINISTRAÇÃO DE IMUNODERIVADOS (ORAL E/OU PARENTERAL),"0,00"
ADMINISTRAÇÃO DE MEDICAMENTOS NA ATENÇÃO ESPECIALIZADA.,"0,63"
ADMINISTRAÇÃO DE MEDICAMENTOS POR VIA ENDOVENOSA,"0,00"
ADMINISTRAÇÃO DE MEDICAMENTOS POR VIA INTRAMUSCULAR,"0,00"
ADMINISTRAÇÃO DE MEDICAMENTOS POR VIA ORAL,"0,00"
ADMINISTRAÇÃO DE MEDICAMENTOS POR VIA SUBCUTÂNEA (SC),"0,00"
ADMINISTRAÇÃO DE PENICILINA PARA TRATAMENTO DE SÍFILIS,"0,00"
ADMINISTRAÇÃO DE VITAMINA A,"0,00"
ADMINISTRAÇÃO TÓPICA DE MEDICAMENTO(S),"0,00"
AFERESE TERAPÊUTICA,"180,00"
AFERIÇÃO DE PRESSÃO ARTERIAL,"0,00"
AFERIÇÃO DE TEMPERATURA,"0,00"
AGULHA P/ PUNÇÃO TRANSEPTAL,"324,51"
AJUDA DE CUSTO P / ALIMENTAÇÃO/PERNOITE DE ACOMPANHANTE - (P/TRATAMENTO CNRAC),"24,75"
AJUDA DE CUSTO P/ ALIMENTAÇÃO/PERNOITE DE PACIENTE,"24,75"
AJUDA DE CUSTO PARA ALIMENTAÇÃO DE ACOMPANHANTE S/PERNOITE,"8,40"
AJUDA DE CUSTO PARA ALIMENTACAO DE PACIENTE SEM PERNOITE,"8,40"
AJUDA DE CUSTO PARA ALIMENTAÇÃO PERNOITE DE PACIENTE - (PARA TRATAMENTO CNRAC),"24,75"
AJUDA DE CUSTO PARA ALIMENTAÇÃO/PERNOITE DE ACOMPANHANTE,"24,75"
AJUSTE MEDICAMENTOSO DE SITUAÇÕES NEUROLÓGICAS AGUDIZADAS,"309,73"
AJUSTE OCLUSAL,"0,00"
ALARGAMENTO DA ENTRADA VAGINAL,"119,35"
ALBUMINA HUMANA 20 POR CENTO (FRASCO-AMPOLA DE 50 ML),"55,00"
ALCOOLIZAÇÃO DE NERVO CRANIANO,"18,85"
ALCOOLIZAÇÃO PERCUTÂNEA DE CARCINOMA HEPÁTICO,"873,45"
ALCOOLIZAÇÃO PERCUTÂNEA DE HEMANGIOMA E MALFORMAÇÃO VENOSAS (INCLUI ESTUDO ANGIOGRÁFICO),"283,18"
"ALFACALCIDOL 0,25 MCG (POR CAPSULA)","0,00"
"ALFACALCIDOL 1,0 MCG (POR CAPSULA)","0,00"
"ALFADORNASE 2,5 MG (POR AMPOLA)","0,00"
ALFAEPOETINA 1.000 UI INJETÁVEL (POR FRASCO-AMPOLA),"0,00"
ALFAEPOETINA 10.000 UI INJETÁVEL (POR FRASCO-AMPOLA),"0,00"
ALFAEPOETINA 2.000 UI INJETÁVEL (POR FRASCO-AMPOLA),"0,00"
ALFAEPOETINA 3.000 UI INJETÁVEL (POR FRASCO-AMPOLA),"0,00"
